"","Gene.ID","logFC","P.Value"
"Os.3721.1.S1_at","4325978",-0.779627805982837,3.35775752295e-07
"Os.14666.2.S1_x_at","4347000",0.989983900909619,3.42798440878368e-07
"Os.8947.1.S1_at","4331659",2.13864575221232,3.45071132533378e-07
"Os.15198.1.S1_at","4327073",-1.60784181853889,3.48291874562735e-07
"Os.57430.1.S1_at","4328518",-2.96021911674996,3.4975196185607e-07
"Os.46633.1.A1_at","4349224",2.28195538938822,3.52396382405192e-07
"Os.51629.1.S1_at","4328581",-1.50661803986942,3.59127308665139e-07
"Os.46864.1.S1_at","4348147",3.52134974162178,3.60519170642879e-07
"Os.2694.1.S1_at","4336376",-1.77455195734865,3.66882153513227e-07
"Os.7200.1.S1_at","4350870",0.674665739034435,3.67554287523919e-07
"Os.7388.2.S1_x_at","4342477",2.17558987521363,3.67894647753564e-07
"Os.12761.1.S1_at","4333648",-2.42185693277236,3.69187264788475e-07
"Os.5639.1.S1_at","4346184",2.78584803301724,3.71042520598394e-07
"Os.40026.1.S1_at","4334449",-1.6366983984102,3.79726619739317e-07
"Os.5045.1.S1_at","4325989",4.03385643753296,3.84443169994002e-07
"Os.3160.1.S1_at","4333862",0.502009024733185,3.85286221370941e-07
"Os.10928.1.S1_at","9269701",2.91257622183475,3.85547846981394e-07
"Os.35257.1.S1_at","4342334",6.11554820593697,3.87690354440896e-07
"Os.6723.1.S1_at","4329572",4.55967376139952,3.92666808186824e-07
"Os.20203.1.S1_s_at","4327340",1.60987669567553,3.95091665718673e-07
"Os.25606.1.S1_at","4347069",2.75856396332814,3.97569979347595e-07
"Os.53318.1.S1_at","4329386",4.1348381004899,4.00407165517599e-07
"Os.153.1.S1_at","4339222",-1.54281461255942,4.00453672015574e-07
"Os.27078.1.S1_x_at","4326061",8.49058719627246,4.01557803953641e-07
"Os.48328.1.S1_at","4326500",-5.41228486021101,4.08311469262358e-07
"Os.12415.1.S1_at","4346387",-2.28168135483745,4.15307697948921e-07
"Os.9216.1.S1_at","4332972",3.07726190513241,4.17043678425269e-07
"Os.33350.1.S1_x_at","4342991",3.65572721106022,4.17690877011779e-07
"Os.10681.1.S1_at","4329052",-4.65419658554952,4.1965945947242e-07
"Os.15139.1.S1_at","4343027",2.59840708258705,4.26611156800064e-07
"Os.7985.1.S1_at","4332500",1.73883815809174,4.34859173026155e-07
"Os.52527.1.S1_s_at","4339963",1.26890707803671,4.3742039673557e-07
"Os.46796.1.S1_at","4348811",-1.4805487681114,4.46416498895661e-07
"Os.18382.1.S1_at","4326796",-1.6361406547185,4.50124850574392e-07
"Os.49287.1.S1_x_at","9272389",4.47277037157512,4.50900782756123e-07
"Os.7535.1.S1_at","4324029",-1.35304323507979,4.55681357370822e-07
"Os.11130.1.S1_at","4336569",-1.19110521821134,4.564523526105e-07
"Os.17177.1.S1_at","4329772",0.982776869668524,4.60386934649647e-07
"Os.53295.1.A1_at","4346583",1.27533375853658,4.64866958553851e-07
"Os.37622.1.S1_at","4324968",-3.24080864171128,4.70166493470618e-07
"Os.12371.1.S1_at","4336245",1.2026443211389,4.71970464415986e-07
"Os.43909.1.S1_at","4331312",-3.43778957167093,4.75556166194038e-07
"Os.25251.1.A1_at","4348070",2.93407486954613,4.79851254034695e-07
"Os.52574.1.S1_at","4336249",-1.49762041520368,4.80131336395125e-07
"Os.25983.1.S2_at","4332426",1.50289374603284,4.8143706718075e-07
"Os.16607.1.S1_at","4344595",-4.64871480870748,4.82233758104337e-07
"Os.24830.1.S1_at","4335049",-2.04036316542836,4.84940962408057e-07
"Os.4892.1.S1_at","4338203",3.00339753271877,4.85986306530516e-07
"Os.8668.1.S1_at","4352472",-4.37988483859757,4.86510900548184e-07
"Os.22610.1.S1_at","4331402",-1.32509121865142,4.89370622367616e-07
"Os.10877.1.S1_at","9270336",0.439860013192646,4.90464237631144e-07
"Os.6768.1.S1_at","4324685",-2.54307837852659,4.92148713789923e-07
"Os.52821.1.S1_at","4350786",2.48417932536489,4.98992885151901e-07
"Os.16914.1.S2_at","4329351",1.47332475373778,4.99398222190858e-07
"Os.17890.1.S1_at","4332788",-1.21261624416766,5.01265558438245e-07
"Os.16772.1.S1_at","4345365",1.15711173382526,5.06915691426153e-07
"Os.15619.1.S1_at","4329283",-0.767058375814468,5.08123658529977e-07
"Os.53726.1.S1_at","4342396",-1.63215764004263,5.08924484907659e-07
"Os.7108.1.S1_at","4329797",-1.257149383427,5.21859021377654e-07
"Os.19204.1.S1_at","4329820",1.37028056657189,5.22553127942297e-07
"Os.2260.1.S1_at","4340140",-1.96471779500057,5.23482339586578e-07
"Os.29825.1.S1_a_at","4345925",-1.27958908263835,5.28091458287106e-07
"Os.27851.1.A1_a_at","9267044",3.80397868811717,5.29573519183824e-07
"Os.12082.1.S1_at","4336109",3.00018658997625,5.34773611524632e-07
"Os.14187.1.S1_at","4341070",3.08088719096475,5.36285355088824e-07
"Os.28429.3.S1_x_at","4352476",3.82598806577872,5.37600728207692e-07
"Os.49226.1.S1_at","4352612",0.979825658007632,5.40200002352988e-07
"Os.4918.1.S1_at","4342415",-2.20179746477574,5.43323690055705e-07
